PLATE,MJD,FIBER,RAJ2000,DEJ2000,GLON,GLAT,GMAG,U_G,G_R,D0_2,FM,CHG,BHG,D,R,X,Y,Z,HRV,E_HRV,VGAL,DR8,SLOAN,SIMBADNAME
2904,54574,306,205.328568056,28.0323119444,40.485462,78.91584,15.62,1.18,-0.04,22.27,0.27,0.76,8.01,10.1,11.9,6.5,-1.3,9.9,-142.4,1.4,-105.8,DR8,Sloan,SDSS J134118.85+280156.3
2904,54574,346,205.366286944,28.4083119444,42.426579,78.864876,15.59,1.28,-0.2,25.7,0.23,0.91,9.36,10.2,12.0,6.5,-1.3,10.0,-133.4,1.4,-95.6,DR8,Sloan,SDSS J134127.90+282429.9
2904,54574,393,205.409591944,28.4984719444,42.878223,78.820824,15.59,1.21,-0.16,26.14,0.21,0.9,9.3,10.2,12.0,6.6,-1.3,10.0,-134.6,1.5,-96.4,DR8,Sloan,SDSS J134138.30+282954.5
2475,53845,478,205.428466944,28.4690361111,42.720901,78.806313,15.62,1.22,-0.1,25.12,0.24,0.78,7.82,10.3,12.1,6.5,-1.4,10.1,-139.3,3.8,-101.2,DR8,Sloan,SDSS J134142.83+282808.5
2475,53845,148,205.467911111,28.1012,40.820583,78.790665,14.92,1.19,-0.1,21.59,0.27,0.91,7.42,7.5,10.1,6.9,-0.9,7.3,-166.8,2.3,-129.6,DR8,Sloan,SDSS J134152.29+280604.3
2904,54574,430,205.527985,28.6239380556,43.479919,78.707634,15.61,1.27,-0.15,25.26,0.23,0.86,8.5,10.3,12.1,6.5,-1.4,10.1,-134.6,2.0,-95.8,DR8,Sloan,SDSS J134206.71+283726.1
2904,54574,426,205.680526944,28.4710769444,42.656052,78.585091,15.51,1.2,-0.11,23.82,0.23,0.83,7.99,9.8,11.7,6.6,-1.3,9.6,-128.8,1.8,-90.1,DR8,Sloan,SDSS J134243.32+282815.8
2905,54580,392,206.018386944,18.7164169444,0.890464,75.264206,14.46,1.06,-0.23,20.73,0.23,1.16,8.31,5.9,8.7,6.5,0.0,5.7,-74.7,1.4,-64.3,DR8,Sloan,SDSS J134404.40+184259.1
2905,54580,189,206.957123056,18.19545,1.354584,74.239784,14.3,1.13,-0.24,24.75,0.24,1.14,9.91,5.5,8.4,6.5,0.0,5.3,18.2,1.5,29.3,DR8,Sloan,SDSS J134749.70+181143.6
2447,54498,382,213.407211111,56.366035,101.858101,57.271149,13.63,1.26,-0.12,25.12,0.29,1.04,10.17,4.1,9.4,8.5,-2.2,3.5,20.2,1.9,144.3,DR8,Sloan,SDSS J141337.71+562158.0
2447,54498,123,215.181076111,55.34306,99.240135,57.485706,13.37,1.24,-0.29,25.71,0.23,1.11,10.03,3.7,9.1,8.3,-1.9,3.1,-89.3,1.6,35.4,DR8,Sloan,SDSS J142043.46+552035.3
