Plate,MJD,Fiber,RAJ2000,DEJ2000,GLON,GLAT,gmag,u-g,g-r,D0_2,fm,cHg,bHg,d,r,x,y,z,HRV,e_HRV,Vgal,DR8,Sloan,SimbadName,spec.ra,spec.dec,spec.specObjID,spec.bestObjID,photo.objID,photo.u,photo.g,photo.r,photo.i,photo.z,photo.err_u,photo.err_g,photo.err_r,photo.err_i,photo.err_z,photo.dered_u,photo.dered_g,photo.dered_r,photo.dered_i,photo.dered_z,spp.TEFFANNRR,spp.TEFFANNRRIND,spp.TEFFANNRRUNC,spp.LOGGANNRR,spp.LOGGANNRRIND,spp.LOGGANNRRUNC,spp.FEHANNRR,spp.FEHANNRRIND,spp.FEHANNRRUNC
3211,54852,289,171.715775,58.4922869444,142.291412,55.342407,17.24,1.15,-0.27,24.04,0.23,1.12,9.81,21.2,25.8,17.6,-7.4,17.5,56.1,3.3,135.9,DR8,Sloan,SDSS J112651.75+582932.5,171.71577,58.492286,3615344121989931008,1237655107301212195,1237655107301212195,18.41337,17.28831,17.54424,17.7296,17.86051,0.01477738,0.004531468,0.005407386,0.006829073,0.01773457,18.34833,17.24046,17.50953,17.70328,17.84185,8237.263,1,176.4475,2.883395,1,0.0494,-2.027876,2,0.063
3173,54849,52,178.963653889,48.9245530556,145.478638,65.698975,16.1,1.21,-0.08,18.67,0.25,1.01,7.47,12.6,17.1,12.3,-2.9,11.5,-74.4,1.6,-18.7,DR8,Sloan,SDSS J115551.28+485528.6,178.96365,48.924553,3572494779415633920,1237658203436023931,1237658203436023931,17.4481,16.18377,16.24935,16.33367,16.38935,0.008664822,0.003665616,0.004246169,0.00454445,0.007667081,17.32255,16.09139,16.18235,16.28286,16.35333,7674.777,1,213.5547,2.815242,1,0.0563,-1.219364,2,0.0467
3173,54849,70,179.362595,49.0204511111,144.812149,65.75087,16.25,1.14,-0.03,23.25,0.26,0.89,8.89,13.5,17.8,12.5,-3.2,12.3,31.9,1.8,88.4,DR8,Sloan,SDSS J115727.02+490113.8,179.36259,49.02045,3572499727217958912,1237658203436154905,1237658203436154905,17.56769,16.35856,16.35843,16.37611,16.40067,0.009097494,0.003777024,0.004339192,0.004564203,0.007758664,17.41459,16.24591,16.27673,16.31416,16.35674,7957.36,1,175.6513,3.254933,1,0.0616,-2.185566,2,0.0496
3173,54849,151,178.337906111,49.7131311111,145.326706,64.813446,15.73,1.23,-0.1,24.21,0.24,0.94,9.21,10.9,15.6,11.8,-2.6,9.8,-40.6,1.8,16.9,DR8,Sloan,SDSS J115321.10+494247.7,178.33791,49.713131,3572521992328421376,1237658204509634580,1237658204509634580,17.05662,15.78378,15.86607,15.95973,16.00606,0.007717367,0.003527615,0.004202017,0.004676308,0.006953443,16.96168,15.71392,15.8154,15.92131,15.97883,7952.167,1,171.8347,3.205892,1,0.0343,-1.42816,2,0.0204
3173,54849,219,177.739303889,49.0041311111,147.008499,65.200516,19.39,0.95,0.0,23.67,0.2,0.86,8.18,57.3,60.6,28.2,-13.1,52.0,-164.0,17.1,-109.5,DR8,Sloan,SDSS J115057.42+490015.1,177.7393,49.004132,3572540684026093568,1237658611983384674,1237658611983384674,20.4803,19.45097,19.45431,19.40363,19.44089,0.06140465,0.01321832,0.01661432,0.02030361,0.06435021,20.36247,19.36428,19.39143,19.35595,19.40708,7608.123,1,283.8923,3.899085,1,0.0967,-1.338822,2,0.0796
3173,54849,480,177.851256944,50.01738,145.572357,64.389336,18.66,1.0,-0.04,19.31,0.27,0.82,7.96,41.0,44.4,22.6,-10.0,36.9,-104.2,8.0,-46.2,DR8,Sloan,SDSS J115124.30+500102.8,177.85126,50.017378,3572612427159805952,1237658205046374606,1237658205046374606,19.75194,18.72533,18.72456,18.7325,18.8468,0.03181798,0.007816144,0.009123068,0.01128395,0.03965677,19.65005,18.65035,18.67019,18.69127,18.81757,7570.047,1,154.3513,3.742584,1,0.0561,-2.440672,1,0.0763
3150,54806,536,170.076903889,40.2283361111,172.285538,67.067253,16.4,1.2,-0.11,26.13,0.23,0.86,8.47,14.8,19.3,13.7,-0.8,13.6,16.7,2.5,31.2,DR8,Sloan,SDSS J112018.45+401342.0,170.07691,40.228338,3546732121743794176,1237664670051270664,1237664670051270664,17.68042,16.44909,16.54451,16.63733,16.69888,0.01041562,0.004106507,0.004301173,0.00492981,0.009165547,17.60228,16.39159,16.50281,16.60571,16.67646,7962.555,1,170.222,3.058767,1,0.0395,-1.397535,2,0.0271
2394,54551,419,168.767471111,59.90369,142.969009,53.314129,16.75,1.21,-0.22,26.7,0.23,1.03,9.82,17.4,22.3,16.3,-6.2,13.9,-138.9,2.6,-56.9,DR8,Sloan,SDSS J111504.19+595413.6,168.76747,59.903691,2695519627177388032,1237655109448171561,1237655109448171561,17.99641,16.80515,17.02754,17.19275,17.29332,0.01211566,0.003761007,0.004459532,0.00535936,0.01244667,17.95483,16.77455,17.00535,17.17592,17.28139,8231.896,1,166.7428,3.041337,1,0.0309,-1.876647,2,0.0495
2394,54551,248,167.887756111,57.8517530556,145.763535,54.624104,17.3,1.13,-0.05,20.64,0.27,0.77,7.2,21.9,26.7,18.5,-7.1,17.9,-13.2,3.4,61.2,DR8,Sloan,SDSS J111133.04+575106.5,167.88776,57.851752,2695472623055300608,1237658302206967850,1237658302206967850,18.50259,17.30755,17.37268,17.43749,17.51096,0.01460899,0.004618025,0.004938902,0.00578151,0.01431866,18.45292,17.27101,17.34617,17.41739,17.49671,7770.714,1,115.4005,3.299167,1,0.0547,-2.243352,1,0.028
2394,54551,202,168.519363056,57.9669838889,145.190582,54.751308,14.06,1.06,-0.25,24.29,0.23,1.13,9.47,4.9,11.2,10.3,-1.6,4.0,-340.6,1.4,-265.3,DR8,Sloan,SDSS J111404.62+575801.4,168.51936,57.966985,2695459978671581184,1237658302207098941,1237658302207098941,15.19954,14.05965,14.33455,14.51203,14.63826,0.003910834,0.00306357,0.003306842,0.003411881,0.004094863,15.13788,14.01428,14.30164,14.48708,14.62057,8316.353,1,238.3048,2.845652,1,0.0977,-2.229679,2,0.0412
2394,54551,581,171.494995,59.5263061111,141.446793,54.422577,15.72,1.22,-0.1,24.02,0.24,0.81,7.76,10.8,16.1,12.9,-3.9,8.8,-270.5,1.7,-187.5,DR8,Sloan,SDSS J112558.78+593135.0,171.495,59.526307,2695564157398312960,1237658303818563624,1237658303818563624,16.97565,15.76098,15.82113,15.89461,15.94414,0.007825267,0.003508404,0.004020798,0.004585096,0.006757867,16.89342,15.70047,15.77724,15.86133,15.92054,7915.903,1,178.3609,3.095909,1,0.0461,-1.834771,2,0.0206
